Method  RMSE    STD
ShadowDerandomization	0.06969951244231727	0.0031476508679586577
ShadowBernstein	0.07930526606357544	0.009275059431367218
ShadowBernstein-truncated	0.100557665433586	0.011367274114049983
Derandomization	0.15790129418335394	0.01777317607738053
RandomPaulis	0.15833761127500795	0.021767143803511763
AdaptivePaulis	0.09439675822354182	0.009919363584431065
AEQuO-inadaptive	1.7987569152164247	0.1710336512005743
AEQuO-naive	0.12294630224352361	0.014486003829065678
ShadowAdaptive	0.095686126018015	0.01127007158282245
OverlappedGrouping	0.07794640031811279	0.009377570881590332
