run_label	method	rmse	rmse_std	t_end_epoch	t_end_iso	num_steps
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.05292816896888056	0.03804095164379926	1759750881.454407	2025-10-06T13:41:21	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.05003095170339233	0.03836815506957235	1759762976.8300226	2025-10-06T17:02:56	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.04654393928582252	0.0332969163713435	1760288119.9203017	2025-10-12T18:55:19	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.054793909629911895	0.06306528062872863	1761049446.6639807	2025-10-21T14:24:06	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.06056789922384094	0.06717108256516734	1761139078.472646	2025-10-22T15:17:58	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.06600379079355291	0.08054323401757237	1761139485.9404237	2025-10-22T15:24:45	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.06218283954234176	0.06974775801319756	1761140011.0017383	2025-10-22T15:33:31	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.0605692301646659	0.07445714442894837	1761144014.9979455	2025-10-22T16:40:14	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.056294627377205426	0.06791954291739569	1761144343.2749588	2025-10-22T16:45:43	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.05662659845937991	0.0034536014771988466	1763287922.8801677	2025-11-16T11:12:02	1000
BeH2_molecule_JW_sto3g_Shadow_Grouping_Nshots=1000	Shadow_Grouping	0.06303147230902292	0.0035636822057407307	1763288481.0703487	2025-11-16T11:21:21	1000
